model_name,target_strategy,MAE,RMSE,R2
XGBRegressor,log1p,44527.70690039036,86942.18744753943,0.9123349327555409
XGBRegressor,original,45558.99714949324,85423.38619596962,0.9153710386864065
RandomForestRegressor,original,47514.67594060389,94527.95950841733,0.8963698775557494
RandomForestRegressor,log1p,48024.31137331211,99748.07748853917,0.8846083156390672
Ridge,log1p,49757.47549497606,90324.117637462,0.9053821881657603
Ridge,original,62038.80191613927,117415.24000952013,0.8401125466825781
DummyRegressor,log1p,181803.77741438002,299781.86018895917,-0.042260178462010245
DummyRegressor,original,194591.32879867696,293647.7158667204,-4.305662046344416e-05
